Size,Algorithm,DataType,AvgComparisons,AvgTime_ms,MedianTime_ms
2100,LCP_MergeSort,Random,28856,10.515,10.428
2100,LCP_MergeSort,Reversed,17232,9.876,9.723
2100,LCP_MergeSort,Almost_Sorted,26154,10.467,10.293
2100,LCP_MergeSort,Common_Prefix,316600,15.595,15.599
2200,LCP_MergeSort,Random,30527,11.090,11.255
2200,LCP_MergeSort,Reversed,17992,11.255,10.556
2200,LCP_MergeSort,Almost_Sorted,27634,10.749,10.714
2200,LCP_MergeSort,Common_Prefix,334032,16.377,16.404
2300,LCP_MergeSort,Random,32256,11.719,11.490
2300,LCP_MergeSort,Reversed,18781,10.860,10.779
2300,LCP_MergeSort,Almost_Sorted,29397,11.295,11.297
2300,LCP_MergeSort,Common_Prefix,351367,18.892,17.589
2400,LCP_MergeSort,Random,33909,12.328,12.188
2400,LCP_MergeSort,Reversed,19599,11.599,11.542
2400,LCP_MergeSort,Almost_Sorted,31460,11.889,11.781
2400,LCP_MergeSort,Common_Prefix,369557,18.200,18.145
2500,LCP_MergeSort,Random,35644,13.012,12.947
2500,LCP_MergeSort,Reversed,20609,12.424,12.329
2500,LCP_MergeSort,Almost_Sorted,32866,12.950,12.496
2500,LCP_MergeSort,Common_Prefix,387524,18.944,18.970
2600,LCP_MergeSort,Random,37356,13.753,13.602
2600,LCP_MergeSort,Reversed,21574,12.698,12.687
2600,LCP_MergeSort,Almost_Sorted,34955,13.169,13.229
2600,LCP_MergeSort,Common_Prefix,405665,20.644,20.060
2700,LCP_MergeSort,Random,39076,13.981,13.810
2700,LCP_MergeSort,Reversed,22491,13.529,13.424
2700,LCP_MergeSort,Almost_Sorted,36325,13.975,13.805
2700,LCP_MergeSort,Common_Prefix,423639,20.816,20.793
2800,LCP_MergeSort,Random,40873,15.026,14.385
2800,LCP_MergeSort,Reversed,23614,13.693,13.641
2800,LCP_MergeSort,Almost_Sorted,37993,14.356,14.311
2800,LCP_MergeSort,Common_Prefix,440704,21.949,21.594
2900,LCP_MergeSort,Random,42653,15.296,15.388
2900,LCP_MergeSort,Reversed,24607,14.416,14.212
2900,LCP_MergeSort,Almost_Sorted,39966,15.199,15.275
2900,LCP_MergeSort,Common_Prefix,459331,22.499,22.540
3000,LCP_MergeSort,Random,44574,15.964,16.037
3000,LCP_MergeSort,Reversed,25636,19.993,14.861
3000,LCP_MergeSort,Almost_Sorted,41301,15.805,15.606
3000,LCP_MergeSort,Common_Prefix,476890,24.199,23.691
100,MSD_RadixSort,Random,174,0.196,0.185
100,MSD_RadixSort,Reversed,170,0.209,0.198
100,MSD_RadixSort,Almost_Sorted,168,0.178,0.168
100,MSD_RadixSort,Common_Prefix,1579,1.001,0.954
200,MSD_RadixSort,Random,396,0.443,0.422
200,MSD_RadixSort,Reversed,392,0.453,0.403
200,MSD_RadixSort,Almost_Sorted,396,0.421,0.420
200,MSD_RadixSort,Common_Prefix,3189,2.212,2.180
300,MSD_RadixSort,Random,618,0.689,0.642
300,MSD_RadixSort,Reversed,610,0.634,0.634
